"TVS_MOTORS_DATE","CLOSE_PRICE","TWENTY_DAY_MA","FIFTY_DAY_MA"
17-JUN-15,231.8,228.375,232.289
18-JUN-15,231.9,228.4725,231.819
19-JUN-15,239.85,229.0975,231.593
22-JUN-15,244.9,229.835,231.477
23-JUN-15,242.85,230.2375,231.199
24-JUN-15,240.35,230.4575,230.903
25-JUN-15,238.9,230.5975,230.653
26-JUN-15,245.1,230.955,230.662
29-JUN-15,241.6,231.235,230.602
30-JUN-15,243.75,232.1275,230.802
01-JUL-15,245.55,233.335,230.961
02-JUL-15,257.25,234.87,231.347
03-JUL-15,257.5,236.57,231.839
06-JUL-15,264.4,238.835,232.485
07-JUL-15,270.15,241.4025,233.323
08-JUL-15,265,243.4525,234.072
09-JUL-15,259.25,245.09,234.51
10-JUL-15,256.95,246.6825,234.937
13-JUL-15,270.65,248.8075,235.363
14-JUL-15,266.3,250.7,235.881
15-JUL-15,268.25,252.5225,236.726
16-JUL-15,266.55,254.255,237.734
17-JUL-15,263.35,255.43,238.584
20-JUL-15,263.8,256.375,239.316
21-JUL-15,257.95,257.13,240.026
22-JUL-15,264,258.3125,240.91
23-JUL-15,263.35,259.535,241.694
24-JUL-15,251.45,259.8525,242.295
27-JUL-15,241.55,259.85,242.643
28-JUL-15,232.55,259.29,242.854
29-JUL-15,235,258.7625,243.15
30-JUL-15,235.95,257.6975,243.27
31-JUL-15,237.95,256.72,243.482
03-AUG-15,230.1,255.005,243.481
04-AUG-15,233.35,253.165,243.452
05-AUG-15,234.65,251.6475,243.426
06-AUG-15,236.85,250.5275,243.441
07-AUG-15,239.15,249.6375,243.465
10-AUG-15,234.15,247.8125,243.428
11-AUG-15,223.55,245.675,243.381
12-AUG-15,223.45,243.435,243.422
13-AUG-15,225.55,241.385,243.402
14-AUG-15,230,239.7175,243.532
17-AUG-15,229.8,238.0175,243.746
18-AUG-15,230.25,236.6325,243.975
19-AUG-15,229,234.8825,244.075
20-AUG-15,231.8,233.305,244.181
21-AUG-15,228.75,232.17,244.254
24-AUG-15,213.55,230.77,243.962
25-AUG-15,223.8,230.3325,243.869
26-AUG-15,227.45,229.955,243.782
27-AUG-15,226.7,229.4925,243.678
28-AUG-15,220.4,228.615,243.289
31-AUG-15,223.45,228.2825,242.86
01-SEP-15,216.75,227.4525,242.338
02-SEP-15,220.25,226.7325,241.936
03-SEP-15,221.05,225.9425,241.579
04-SEP-15,223,225.135,241.137
07-SEP-15,218.05,224.33,240.666
08-SEP-15,220.45,224.175,240.2
09-SEP-15,225.9,224.2975,239.807
10-SEP-15,228.2,224.43,239.226
11-SEP-15,232.6,224.56,238.728
14-SEP-15,231.95,224.6675,238.079
15-SEP-15,231,224.705,237.296
16-SEP-15,232.55,224.8825,236.647
18-SEP-15,235.65,225.075,236.175
21-SEP-15,233.6,225.3175,235.708
22-SEP-15,229.85,226.1325,234.892
23-SEP-15,230.05,226.445,234.167
24-SEP-15,235.8,226.8625,233.518
28-SEP-15,231.65,227.11,232.82
29-SEP-15,230.3,227.605,232.159
30-SEP-15,230.2,227.9425,231.487
01-OCT-15,229.6,228.585,230.92
05-OCT-15,229,229.0225,230.22
06-OCT-15,230.2,229.48,229.557
07-OCT-15,241.3,230.395,229.354
08-OCT-15,240.6,231.5225,229.335
09-OCT-15,238.6,232.43,229.456
12-OCT-15,238.65,233.0675,229.529
13-OCT-15,242.15,233.765,229.653
14-OCT-15,242.05,234.2375,229.735
15-OCT-15,242.6,234.77,229.985
